Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake_Magnitude,Vol,More Info,Deposits,Country,Location Name,Latitude,Longitude,Maximum_Water_Height,Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,1921,9,11,4,1,38,4,1,7.5,,,0,INDONESIA,JAVA,-11,111,0.1,3,,-2.3,-2,,,,,,,,,,,,,,,,,,,,,,,,
,1921,11,11,18,36,8,3,1,7.5,,,0,PHILIPPINES,PHILIPPINE TRENCH,8,127,,4,,0.5,1,,,,,,,,1,,1,,,,,,,,,,1,,1,,
,1922,1,6,14,11,2,2,1,7.2,,,0,PERU,S. PERU,-16.5,-73,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1922,1,19,21,58,58.5,3,1,6.9,,,0,PAPUA NEW GUINEA,BISMARCK SEA,-7.111,143.53,1.8,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
,1922,2,27,20,39,50,2,1,6.3,,,0,PHILIPPINES,CEBU ISLAND,10.2,124.1,0.7,3,,-0.5,0,,,,,,,,,,,,,5,1,,,,,,2,,,,2
,1922,3,1,9,10,23,2,1,6,,,0,PHILIPPINES,SULU SEA,9,123.25,,1,,,0.5,,,,,,,,,,,,,,,,,,,,2,,,,2
,1922,9,1,19,16,6,1,1,7.6,,,0,TAIWAN,TAIWAN,24.5,122,,1,,,,,,,,,,,,,,,,5,1,,,7,1,,2,139,3,,
,1922,11,7,23,0,9,2,1,7,,,0,CHILE,NORTHERN CHILE,-28,-72,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1922,11,11,4,32,36,4,1,8.7,,,0,CHILE,NORTHERN CHILE,-28.553,-70.755,9,36,,3.2,2.5,200,3,,,,,,3,,3,,,700,3,,,,,,3,,3,,
,1922,12,25,3,33,10,3,1,6.3,,,0,NEW ZEALAND,SE. NEW ZEALAND,-43,173,0.4,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,1923,1,22,9,4,18,0,1,7.2,,,0,USA,N. CALIFORNIA,40.8,-124.5,0.1,1,,-2,,,,,,,,,,,,,,,,,,,,,1,,,,
,1923,2,3,16,1,41,4,1,8.3,,,1,RUSSIA,KAMCHATKA,54,161,8,21,,3,,3,1,,,,,1.5,2,,,,,3,1,,,,,1.5,2,,2,,
,1923,3,2,16,48,52,3,1,7.2,,,0,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",6.5,124,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
,1923,4,13,15,31,2,4,1,7.2,,,1,RUSSIA,KAMCHATKA,56.5,162.5,20,11,,4.9,3.5,18,1,,,,,,3,,3,,,18,1,,,,,,3,,3,,
,1923,5,4,22,26,45,-1,1,7,,,0,CHILE,NORTHERN CHILE,-28.75,-71.75,,0,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2
,1923,6,1,17,24,0,4,1,7.3,,,0,JAPAN,"KASHIMA, JAPAN",35.4,141.8,0.4,1,,-1.3,-1.5,,,,,,,,,,,,,,,,,,,,,,,,
,1923,9,1,2,58,37,4,1,7.9,,,1,JAPAN,SAGAMI BAY,35.1,139.5,13,140,,3.6,3,2144,4,,,166,3,,3,868,3,,,142807,4,43476,4,47000,4,600,4,695000,4,,
,1923,9,2,2,46,40,4,1,7.7,,,0,JAPAN,RYUKYU ISLANDS,34.9,140.2,0.3,6,,-1.7,-1.5,,,,,,,,,,,,,,,,,,,,,,,,
,1923,11,2,21,8,11.5,3,1,7.1,,,0,PAPUA NEW GUINEA,BISMARCK SEA,-4.653,154.232,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1923,11,4,0,4,47.8,1,1,7.1,,,0,PAPUA NEW GUINEA,NEW BRITAIN,-4.539,153.107,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1923,,,,,,2,4,6.1,7444,,0,VIETNAM,OFF COAST OF CENTRAL VIETNAM,10.158,109.014,,2,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1924,3,15,10,31,24.1,0,1,6.8,,,0,RUSSIA,TATAR STRAIT,49.179,142.436,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1924,4,14,16,20,23,4,3,8.3,,,0,PHILIPPINES,E. MINDANAO ISLAND,6.5,126.5,,3,,,0.5,,,,,,,,,,,,,,,,,,,,3,,3,,
,1924,5,6,16,9,20,4,3,6.5,,,0,PHILIPPINES,PHILIPPINES,16,118,,1,,1,1.5,,,,,,,,1,,,,,,,,,,,,1,,,,
,1924,6,26,1,37,34,3,1,7.8,,,0,AUSTRALIA,MACQUARIE ISLAND,-56,157.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1924,8,30,3,4,7,2,1,7.3,,,0,PHILIPPINES,E. MINDANAO ISLAND,8.5,126.5,,2,,,0.5,,,,,,,,,,,,,,,,,,,,2,,2,,
